Identifier, Property              , Value (Angstrom),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1, Lattice param a @ 168 K,7.538,0.002,,Form I,HACTPH12,Space Group P21/c
2, Lattice param a @ 298 K,7.72,0.0015,,Form I,HACTPH14,Space Group P21/c
3, Lattice param a @ 150 K,7.5625,0.0008,,Form I,HACTPH16,Space Group P21/c
4, Lattice param a @ 40 K,7.4606,0.0008,,Form I,HACTPH17,Space Group P21/c
5, Lattice param a @ 296 K,7.6862,0.0003,,Form I,HACTPH22,Space Group P21/c
6, Lattice param a @ 200 K,7.597,0.0004,,Form I,HACTPH23,Space Group P21/c
7, Lattice param a @123 K,7.5348,0.0002,,Form I,HACTPH24,Space Group P21/c
8, Lattice param a @ 100 K,7.5135,0.0003,,Form I,HACTPH26,Space Group P21/c
9, Lattice param a @ 150 K,7.5558,0.0004,,Form I,HACTPH27,Space Group P21/c
10, Lattice param a @ 113.2 K,7.5344,0.0005,,Form I,HACTPH31,Space Group P21/c
