Identifier, Property              , Value (Angstrom),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1, Lattice param b @ 168 K,8.38,0.002,,Form I,HACTPH12,Space Group P21/c
2, Lattice param b @ 298 K,8.36,0.0017,,Form I,HACTPH14,Space Group P21/c
3, Lattice param b @ 150 K,8.3904,0.0008,,Form I,HACTPH16,Space Group P21/c
4, Lattice param b @ 40 K,8.4594,0.0008,,Form I,HACTPH17,Space Group P21/c
5, Lattice param b @ 296 K,8.2977,0.0003,,Form I,HACTPH22,Space Group P21/c
6, Lattice param b @ 200 K,8.3514,0.0003,,Form I,HACTPH23,Space Group P21/c
7, Lattice param b @123 K,8.4089,0.0002,,Form I,HACTPH24,Space Group P21/c
8, Lattice param b @ 100 K,8.418,0.0003,,Form I,HACTPH26,Space Group P21/c
9, Lattice param b @ 150 K,8.3783,0.0003,,Form I,HACTPH27,Space Group P21/c
10, Lattice param b @ 113.2 K,8.371,0.0003,,Form I,HACTPH31,Space Group P21/c
