Identifier, Property              , Value (deg),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1, Lattice param beta @ 168 K,94.248,0.018,,Form I,HACTPH12,Space Group P21/c
2, Lattice param beta @ 298 K,95.02,0.03,,Form I,HACTPH14,Space Group P21/c
3, Lattice param beta @ 150 K,94.2976,0.0016,,Form I,HACTPH16,Space Group P21/c
4, Lattice param beta @ 40 K,94.307,0.01,,Form I,HACTPH17,Space Group P21/c
5, Lattice param beta @ 296 K,94.967,0.003,,Form I,HACTPH22,Space Group P21/c
6, Lattice param beta @ 200 K,94.449,0.004,,Form I,HACTPH23,Space Group P21/c
7, Lattice param beta @123 K,94.313,0.003,,Form I,HACTPH24,Space Group P21/c
8, Lattice param beta @ 100 K,94.276,0.003,,Form I,HACTPH26,Space Group P21/c
9, Lattice param beta @ 150 K,94.325,0.004,,Form I,HACTPH27,Space Group P21/c
10, Lattice param beta @ 113.2 K,94.278,0.005,,Form I,HACTPH31,Space Group P21/c
