Identifier, Property              , Value (Angstrom),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1, Lattice param c @ 168 K,10.923,0.003,,Form I,HACTPH12,Space Group P21/c
2, Lattice param c @ 298 K,11.28,0.002,,Form I,HACTPH14,Space Group P21/c
3, Lattice param c @ 150 K,10.9758,0.0011,,Form I,HACTPH16,Space Group P21/c
4, Lattice param c @ 40 K,10.8314,0.001,,Form I,HACTPH17,Space Group P21/c
5, Lattice param c @ 296 K,11.238,0.0003,,Form I,HACTPH22,Space Group P21/c
6, Lattice param c @ 200 K,11.0464,0.0005,,Form I,HACTPH23,Space Group P21/c
7, Lattice param c @123 K,10.9417,0.0003,,Form I,HACTPH24,Space Group P21/c
8, Lattice param c @ 100 K,10.9142,0.0004,,Form I,HACTPH26,Space Group P21/c
9, Lattice param c @ 150 K,10.9642,0.0004,,Form I,HACTPH27,Space Group P21/c
10, Lattice param c @ 113.2 K,10.9422,0.0007,,Form I,HACTPH31,Space Group P21/c
