Identifier, Property              , Value (Angstrom),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1, Lattice param b @295 K,24.15,,     ,Form II,HACTPH10,Space Group P212121
2, Lattice param b @150 K,9.071,0.0006,     ,Form II,HACTPH11,Space Group P212121
3, Lattice param b @168 K,9.108,0.003,     ,Form II,HACTPH14,Space Group P212121
4, Lattice param b @298 K,9.5293,0.0014,     ,Form II,HACTPH15,Space Group P212121
5, Lattice param b @100 K,9.02,0.03,     ,Form II,HACTPH18,Space Group P212121
6, Lattice param b @300 K,9.5402,0.0007,     ,Form II,HACTPH19,Space Group P212121
7, Lattice param b @200 K,9.1852,0.0005,     ,Form II,HACTPH20,Space Group P212121
8, Lattice param b @123 K,9.0076,0.0003,     ,Form II,HACTPH21,Space Group P212121
9, Lattice param b @150 K,9.0432,0.0004,     ,Form II,HACTPH25,Space Group P212121
10, Lattice param b @330 K,9.5796,0.0008,     ,Form II,HACTPH28,Space Group P212121
11, Lattice param b @100 K,24.484,0.0005,,Form II,HACTPH29,Space Group P212121
12, Lattice param b @100 K,9.0155,0.0002,,Form II,HACTPH30,Space Group P212121
13, Lattice param b @113.2 K,9.0416,0.0005,,Form II,HACTPH32,Space Group P212121
14, Lattice param b @298 K,24.34,0.03,,Form II,HACTPH33,Space Group P212121
