Identifier, Property              , Value (Angstrom),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1, Lattice param a @295 K,6.09,,     ,Form II,HACTPH10,Space Group P212121
2, Lattice param a @150 K,24.526,0.0015,     ,Form II,HACTPH11,Space Group P212121
3, Lattice param a @168 K,24.445,0.006,     ,Form II,HACTPH14,Space Group P212121
4, Lattice param a @298 K,24.313,0.004,     ,Form II,HACTPH15,Space Group P212121
5, Lattice param a @100 K,24.506,0.014,     ,Form II,HACTPH18,Space Group P212121
6, Lattice param a @300 K,24.3716,0.0014,     ,Form II,HACTPH19,Space Group P212121
7, Lattice param a @200 K,24.5341,0.0011,     ,Form II,HACTPH20,Space Group P212121
8, Lattice param a @123 K,24.5696,0.0007,     ,Form II,HACTPH21,Space Group P212121
9, Lattice param a @150 K,24.5942,0.0009,     ,Form II,HACTPH25,Space Group P212121
10, Lattice param a @330 K,24.41,0.002,     ,Form II,HACTPH28,Space Group P212121
11, Lattice param a @100 K,9.0146,0.0002,,Form II,HACTPH29,Space Group P212121
12, Lattice param a @100 K,24.4848,0.0006,,Form II,HACTPH30,Space Group P212121
13, Lattice param a @113.2 K,24.6096,0.0012,,Form II,HACTPH32,Space Group P212121
14, Lattice param a @298 K,6.132,0.002,,Form II,HACTPH33,Space Group P212121
