Identifier, Property              , a /Angstrom,"		 Std", b /Angstrom,"		 Std", c /Angstrom,"		 Std",alfa,Std,Beta,Std,gama,Std," 	N",    Name,    Reference    ,"	              Comment"
1,Unit Cell @ 295 K,9.48,,24.15,,6.09,,90,,90,,90,,,Form II,HACTPH10,Space Group P212121
2,Unit Cell @ 150 K,6.1886,0.0004,9.0710,0.0006,24.526,0.0015,90,,90,,90,,,Form II,HACTPH11,Space Group P212121
3,Unit Cell @ 168 K,6.1554,0.0017,9.108,0.003,24.445,0.006,90,,90,,90,,,Form II,HACTPH14,Space Group P212121
4,Unit Cell @ 298 K,6.1097,0.0011,9.5293,0.0014,24.313,0.0040,90,,90,,90,,,Form II,HACTPH15,Space Group P212121
5,Unit Cell @ 100 K,6.18,0.02,9.02,0.03,24.506,0.014,90,,90,,90,,,Form II,HACTPH18,Space Group P212121
6,Unit Cell @ 300 K,6.1209,0.0003,9.5402,0.0007,24.3716,0.0014,90,,90,,90,,,Form II,HACTPH19,Space Group P212121
7,Unit Cell @ 200 K,6.1726,0.0002,9.1852,0.0005,24.5341,0.0011,90,,90,,90,,,Form II,HACTPH20,Space Group P212121
8,Unit Cell @ 123 K,6.1941,0.0002,9.0076,0.0003,24.5696,0.0007,90,,90,,90,,,Form II,HACTPH21,Space Group P212121
9,Unit Cell @ 150 K,6.1885,0.0002,9.0432,0.0004,24.5942,0.0009,90,,90,,90,,,Form II,HACTPH25,Space Group P212121
10,Unit Cell @ 330 K,6.1258,0.0003,9.5796,0.0008,24.410,0.002,90,,90,,90,,,Form II,HACTPH28,Space Group P212121
11,Unit Cell @ 100 K,30.9019,0.0006,24.4840,0.0005,9.0146,0.0002,90,,90,,90,,,Form II,HACTPH29,Space Group P212121
12,Unit Cell @ 100 K,6.1799,0.0013,9.0155,0.0002,24.4848,0.0006,90,,90,,90,,,Form II,HACTPH30,Space Group P212121
13,Unit Cell @ 113.2 K,6.2026,0.0003,9.0416,0.0005,24.6096,0.0012,90,,90,,90,,,Form II,HACTPH32,Space Group P212121
14,Unit Cell @ 298 K,9.5410,0.002,24.3400,0.03,6.132,0.0020,90,,90,,90,,,Form II,HACTPH33,Space Group P212121
