Identifier, Property    , Value (cm-1),"		 Std"," 	N",    Name,    Reference    ,"	              Comment",,,,
1,Wavenumber,418,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gCCC (ring, op def.)",,,,
2,Wavenumber,490,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dCCC,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050
3,Wavenumber,498,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,gOCC (op def.),,,,
4,Wavenumber,569,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dO=CC (ip def.),,,,
5,Wavenumber,590,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gO=CCC(ring, op def), tCH3",,,,
6,Wavenumber,637,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"dCC (ring, ip def.)",,,,
7,Wavenumber,668,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gCOH (op def.), nCC",,,,
8,Wavenumber,690,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gCOH (op def.), nCC",,,,
9,Wavenumber,727,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gHCCC (ring, op def.)",,,,
10,Wavenumber,817,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C(ring),,,,
11,Wavenumber,849,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,gHCCC (ring)(op def.),,,,
12,Wavenumber,963,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,rCH3,,,,
13,Wavenumber,1005,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,gHCCC (ring)(op def.),,,,
14,Wavenumber,1022,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,tCH3,,,,
