Identifier, Property    , Value (cm-1),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1,Wavenumber,432,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gCCC (ring, op def.)"
2,Wavenumber,439,,,"J. Mol. Struct. 2014, 1078, 181-188",https://doi.org/10.1016/j.molstruc.2013.11.051,"gCCC (ring, op def.)"
3,Wavenumber,483,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dCCC
4,Wavenumber,500,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,gOCC (op def.)
5,Wavenumber,574,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dO=CC (ip def.)
6,Wavenumber,593,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gO=CCC(ring, op def), tCH3"
7,Wavenumber,638,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"dCC (ring, ip def.)"
8,Wavenumber,698,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gCOH (op def.), nCC"
9,Wavenumber,725,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gHCCC (ring, op def.)"
10,Wavenumber,785,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C(ring)
11,Wavenumber,822,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,gHCCC (ring)(op def.)
12,Wavenumber,837,,,"J. Mol. Struct. 2014, 1078, 181-188",https://doi.org/10.1016/j.molstruc.2013.11.051,gHCCC (ring)(op def.)
13,Wavenumber,966,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,rCH3
14,Wavenumber,1026,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,tCH3
15,Wavenumber,1084,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC-C
16,Wavenumber,1115,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"dHCC (ring, ip def.)"
17,Wavenumber,1171,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"nCC, nC…C(ring)"
18,Wavenumber,1235,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"dHOC (ip def.), dHCC (ring, ip def.)"
19,Wavenumber,1252,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC-O (phenol)
20,Wavenumber,1282,,,"J. Mol. Struct. 2014, 1078, 181-188",https://doi.org/10.1016/j.molstruc.2013.11.051,nC-O (phenol)
21,Wavenumber,1309,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dHC (ring)
22,Wavenumber,1365,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dsCH3
23,Wavenumber,1437,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dasCH3
24,Wavenumber,1441,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C(ring)
25,Wavenumber,1514,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dHC (ring)
26,Wavenumber,1584,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C (ring)
27,Wavenumber,1597,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C (ring)
28,Wavenumber,1628,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC=O
29,Wavenumber,1645,,,"J. Mol. Struct. 2014, 1078, 181-188",https://doi.org/10.1016/j.molstruc.2013.11.051,nC=O
30,Wavenumber,1800,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"overtones, combinations"
31,Wavenumber,2800,,,"J. Mol. Struct. 2014, 1078, 181-188",https://doi.org/10.1016/j.molstruc.2013.11.051,"overtones, combinations"
32,Wavenumber,2816,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nsCH3
33,Wavenumber,2964,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nasCH3
34,Wavenumber,3016,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nCH (ring)
35,Wavenumber,3124,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nOH
