Identifier, Property    (T/K), Value (J K-1 mol-1),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1,298.27,177.98,,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
2,299.93,179.78,,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
3,301.17,179.67,,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
4,302.36,179.91,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
5,303.54,181.46,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
6,304.72,182.18,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
7,305.9,182.76,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
8,307.07,182.08,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
9,308.23,182.18,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
10,309.39,184.01,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
11,310.54,184.91,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
12,311.69,185.49,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
13,312.83,186.32,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
14,313.97,186.94,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
15,315.1,187.2,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
16,316.23,187.7,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
17,317.01,187.93,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
18,318.13,188.46,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
19,319.24,189.06,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
20,320.35,189.71,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
21,321.45,190.25,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
22,322.54,190.9,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
23,323.63,191.34,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
24,324.72,191.65,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
25,325.79,192.58,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
26,326.86,192.85,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
27,327.93,193.4,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
28,328.99,193.05,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
29,330.04,193.98,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
30,331.08,195.16,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
31,332.12,195.59,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
32,333.16,195.96,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
33,333.81,195.59,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
34,334.84,196.69,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
35,335.85,197.04,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
36,336.86,197.44,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
37,337.87,198.27,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
38,338.86,198.96,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
39,339.85,199.59,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
40,340.84,199.45,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
41,341.82,200.4,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
42,342.79,200.97,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
43,343.76,201.04,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
44,344.71,202.1,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
45,345.66,203.04,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
46,346.61,203.63,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
47,347.55,203.93,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
48,348.48,204.05,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
49,348.95,203.77,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
50,349.88,204.45,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
51,350.79,205.79,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
52,351.7,205.95,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
53,352.6,206.68,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
54,353.5,206.78,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
55,354.38,207.54,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
56,355.27,208.01,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
57,356.14,207.36,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
58,357.01,208.08,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
59,357.87,208.48,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
60,358.72,209.17,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
61,359.57,209.84,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
62,360.41,209.36,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
63,361.24,210.24,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
64,362.07,210.77,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
65,362.35,210.64,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
66,363.16,210.26,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
67,363.97,211.82,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
68,364.77,212.24,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
69,365.57,213.6,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
70,366.36,213.1,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
71,367.14,213.41,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
72,367.92,213.75,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
73,368.69,213.85,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
74,369.44,214.81,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
75,370.2,215.69,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
76,370.94,215.82,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
77,371.68,216.67,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
78,372.41,217.71,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
79,373.14,218.59,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
80,324.18,188.28,2.65,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
