Identifier, Property    (T/K), Value (J K-1 mol-1),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1,294.38,176.37,,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
2,295.72,176.17,,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
3,297.06,176.58,,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
4,298.4,177.3,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
5,299.72,177.95,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
6,301.03,178.2,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
7,302.26,179.34,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
8,303.48,179.56,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
9,304.66,179.94,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
10,305.85,180.83,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
11,307.03,180.83,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
12,308.2,181.7,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
13,309.36,181.86,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
14,310.5,182.34,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
15,311.63,182.96,,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,Adiabatic Calorimetry
