Identifier, Property    (T/K), Value (mole fraction),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1,275.23,0.4523,0.0106,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Hydrate H2
2,281.16,0.5184,0.0913,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Hydrate H3
3,283.25,0.4973,0.0476,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Hydrate H4
4,293.42,0.9069,0.0251,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Hydrate H5
5,293.74,1.0548,0.0172,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Hydrate H6
6,297.62,1.2647,0.0384,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Hydrate H7
7,302.85,1.8992,0.0132,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Hydrate H8
8,303.43,1.824,0.0053,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Form I
9,304.08,1.9519,0.0318,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Form I
10,308.44,2.2049,0.0278,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Form I
11,312.88,2.7382,0.0529,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Form I
12,317.44,3.887,0.0503,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Form I
13,317.72,3.9277,0.0172,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Form I
14,322.86,5.083,0.0913,3,"Cryst. Growth Des. 2012, 12, 2932-2941",https://doi.org/10.1021/cg300134z,Equilibrium Solubility : Form I
