BPHENO19,,,,,,,
Identifier, Property              , Value (Angstrom^3),		 Std, 	N,    Name,    Reference    ,	              Comment
1         , Unit cell volume @293K,  996.8,  0.5  ,     ,   Hoser1,    e-mail 27 Aug 2024,   
2         , Unit cell volume @293K,   996.57 ,  0.06 ,     ,   Hoser2,    e-mail 27 Aug 2024,
3         , Unit cell volume @293K,   994.39 ,  0.04  ,     ,   Hoser3,    e-mail 27 Aug 2024,
4         , Unit cell volume @293K,   996.9 ,  0.04  ,     ,   Hoser4,    e-mail 27 Aug 2024,
5         , Unit cell volume @293K,   995.482 , 0.018  ,     ,   Hoser5,    e-mail 27 Aug 2024,
6         , Unit cell volume @293K,   992.27,  0.15 ,     ,   Hoser6,    e-mail 27 Aug 2024,
7         , Unit cell volume @293K,   994.32,  0.04 ,     ,   Hoser7,    e-mail 27 Aug 2024,
8         , Unit cell volume @293K,    994.27,  0.05  ,     ,   Hoser8,    e-mail 27 Aug 2024,
9         , Unit cell volume @293K,   994.537,  0.018 ,     ,   Hoser9,    e-mail 27 Aug 2024,
10        , Unit cell volume @293K,   958.94 ,  0.07  ,     ,   Hoser10,    e-mail 27 Aug 2024,
11        , Unit cell volume @293K,   988.59, 0.14,        , Hoser11,    e-mail 27 Aug 2024,
12        , Unit cell volume @293K,   995.4, 0.3,          , Hoser12,    e-mail 27 Aug 2024, 
