BPHENO19,,,,,,,
Identifier, Property              , Value (Angstrom),		 Std, 	N,    Name,    Reference    ,	              Comment
1         , Lattice param a @293K ,  7.995 ,0.002,     ,   Hoser1,    e-mail 27 Aug 2024,   
2         , Lattice param a @293K ,   7.9895 ,  0.0003  ,     ,   Hoser2,    e-mail 27 Aug 2024,
3         , Lattice param a @293K ,   7.98442  ,  0.00019 ,     ,   Hoser3,    e-mail 27 Aug 2024,
4         , Lattice param a @293K ,   7.9903  ,  0.0002  ,     ,   Hoser4,    e-mail 27 Aug 2024,
5         , Lattice param a @293K ,   7.9862 ,  0.0001 ,     ,   Hoser5,    e-mail 27 Aug 2024,
6         , Lattice param a @293K ,   7.9799 ,  0.0008 ,     ,   Hoser6,    e-mail 27 Aug 2024,
7         , Lattice param a @293K ,   7.9823 ,  0.0002 ,     ,   Hoser7,    e-mail 27 Aug 2024,
8         , Lattice param a @293K ,  7.9806  ,  0.0002  ,     ,   Hoser8,    e-mail 27 Aug 2024,
9         , Lattice param a @293K ,  7.9804 ,  0.0001 ,     ,   Hoser9,    e-mail 27 Aug 2024,
10        , Lattice param a @293K ,   7.8001 ,  0.0008  ,     ,   Hoser10,    e-mail 27 Aug 2024,
11        , Lattice param a @293K ,   7.7804 ,  0.0003  ,     ,   Hoser11,    e-mail 27 Aug 2024,
12        , Lattice param a @293K ,   7.9646 ,   0.0007 ,     ,   Hoser12,    e-mail 27 Aug 2024,
13        , Lattice param a @293K ,   7.9883 ,  0.0013  ,     ,   Hoser13,    e-mail 27 Aug 2024,
