BPHENO19,,,,,,,
Identifier, Property              , Value (Angstrom),		 Std, 	N,    Name,    Reference    ,	              Comment
1         , Lattice param b @293K ,  10.266  ,  0.003  ,     ,   Hoser1,    e-mail 27 Aug 2024,   
2         , Lattice param b @293K ,  10.2849 ,  0.0004   ,     ,   Hoser2,    e-mail 27 Aug 2024,
3         , Lattice param b @293K ,  10.2803   ,  0.0002  ,     ,   Hoser3,    e-mail 27 Aug 2024,
4         , Lattice param b @293K ,  10.2862  ,  0.0002  ,     ,   Hoser4,    e-mail 27 Aug 2024,
5         , Lattice param b @293K ,   10.2851 ,  0.0001 ,     ,   Hoser5,    e-mail 27 Aug 2024,
6         , Lattice param b @293K ,   10.2751,  0.0008 ,     ,   Hoser6,    e-mail 27 Aug 2024,
7         , Lattice param b @293K ,  10.2792 ,  0.0002 ,     ,   Hoser7,    e-mail 27 Aug 2024,
8         , Lattice param b @293K ,   10.2826 ,  0.0003  ,     ,   Hoser8,    e-mail 27 Aug 2024,
9         , Lattice param b @293K ,   10.2828,  0.0001 ,     ,   Hoser9,    e-mail 27 Aug 2024,
10        , Lattice param b @293K ,   10.2355 ,  0.0004  ,     ,   Hoser10,    e-mail 27 Aug 2024,
11        , Lattice param b @293K ,   10.2596 ,  0.0008  ,     ,   Hoser11,    e-mail 27 Aug 2024,
12        , Lattice param b @293K ,   10.2871 ,  0.0015  ,     ,   Hoser12,    e-mail 27 Aug 2024,
