BPHENO19,,,,,,,
Identifier, Property              , Value (Angstrom),		 Std 	N,    Name,    Reference    ,	              Comment
1         , Lattice param c @150K ,   12.089 ,  0.003  ,     ,   Hoser1,    e-mail 27 Aug 2024,   
2         , Lattice param c @150K ,   12.0598 ,  0.0014   ,     ,   Hoser2,    e-mail 27 Aug 2024,
3         , Lattice param c @150K ,   12.0576  ,  0.0006  ,     ,   Hoser3,    e-mail 27 Aug 2024,
4         , Lattice param c @150K ,   12.0637 ,  0.0001  ,     ,   Hoser4,    e-mail 27 Aug 2024,
5         , Lattice param c @150K ,   12.0626 ,  0.0001 ,     ,   Hoser5,    e-mail 27 Aug 2024,
6         , Lattice param c @150K ,  12.06 ,  0.00013 ,     ,   Hoser6,    e-mail 27 Aug 2024,
7         , Lattice param c @150K ,   12.0629,  0.0002 ,     ,   Hoser7,    e-mail 27 Aug 2024,
8         , Lattice param c @150K ,   12.0511 ,  0.0005  ,     ,   Hoser8,    e-mail 27 Aug 2024,
9         , Lattice param c @150K ,  12.06029 ,  0.00008 ,     ,   Hoser9,    e-mail 27 Aug 2024,
10        , Lattice param c @150K ,   12.0582 ,  0.0009  ,     ,   Hoser10,    e-mail 27 Aug 2024,
