BPHENO19,,,,,,,
Identifier, Property              , Value (Angstrom),		 Std 	N,    Name,    Reference    ,	              Comment
1         , Lattice param c @293K ,   12.144 ,  0.003  ,     ,   Hoser1,    e-mail 27 Aug 2024,   
2         , Lattice param c @293K ,   12.128 ,  0.0004   ,     ,   Hoser2,    e-mail 27 Aug 2024,
3         , Lattice param c @293K ,   12.1145 ,  0.0002  ,     ,   Hoser3,    e-mail 27 Aug 2024,
4         , Lattice param c @293K ,   12.1292 ,  0.0002  ,     ,   Hoser4,    e-mail 27 Aug 2024,
5         , Lattice param c @293K ,   12.1195 ,  0.0001 ,     ,   Hoser5,    e-mail 27 Aug 2024,
6         , Lattice param c @293K ,   12.1017 ,  0.0008 ,     ,   Hoser6,    e-mail 27 Aug 2024,
7         , Lattice param c @293K ,   12.1182 ,  0.0002 ,     ,   Hoser7,    e-mail 27 Aug 2024,
8         , Lattice param c @293K ,   12.1162 ,  0.0003  ,     ,   Hoser8,    e-mail 27 Aug 2024,
9         , Lattice param c @293K ,   12.1195 ,  0.0001 ,     ,   Hoser9,    e-mail 27 Aug 2024,
10        , Lattice param c @293K ,   12.0415 ,  0.0006  ,     ,   Hoser10,    e-mail 27 Aug 2024,
11        , Lattice param c @293K ,   12.0982 ,  0.0010  ,     ,   Hoser11,    e-mail 27 Aug 2024,
12        , Lattice param c @293K ,   12.1128 ,  0.0017  ,     ,   Hoser12,    e-mail 27 Aug 2024,
