Identifier,Form (REFCODE),Melting Onset Temperature (K),Value (kJ/mol),Comments,Reference/Author
1,Monoclinic or Beta (BPHENO03),299.04,13.8,,M_Dudek_2024.1
2,Monoclinic or Beta (BPHENO03),299.08,13.8,,M_Dudek_2024.1
3,Monoclinic or Beta (BPHENO03),299.18,14.3,,M_Dudek_2024.1
4,Monoclinic or Beta (BPHENO03),299.02,14.2,,M_Dudek_2024.1
5,Monoclinic or Beta (BPHENO03),299.29,13.8,,M_Dudek_2024.1
6,Monoclinic or Beta (BPHENO03),299.32,14.1,,M_Dudek_2024.1
7,Monoclinic or Beta (BPHENO03),299.25,13.8,,https://doi.org/10.1515/zpch-1932-16103
8,Monoclinic or Beta (BPHENO03),298.3,14.5,error of 0.3,https://doi.org/10.1021/acs.jced.6b00523
9,Monoclinic or Beta (BPHENO03),298.25,15.1,error of 0.09 for temp and 0.1 for enthalpy,https://doi.org/10.1038/s41598-023-38985-y
Benchmark value,Monoclinic or Beta (BPHENO03),298.97,14.156,STDEV.P 0.385 for temp and 0.414 for Enthalpy,
