BPHENO19,,,,,,,
Identifier,"	Property","		     Value (K)","		Std"," 	N",Name,Reference ,Comment
1,Melting point,321.55,        ,     ,Spingler,B_SPINGLER_2024.1,
2,Melting point,321.55,        ,     ,Spingler,B_SPINGLER_2024.1,
3,Melting point,321.62,        ,     ,Spingler,B_SPINGLER_2024.1,
4,Melting point,321.51,        ,     ,Spingler,B_SPINGLER_2024.1,
5,Melting point,321.51,        ,     ,Spingler,B_SPINGLER_2024.1,
6,Melting point,321.52,        ,     ,Spingler,B_SPINGLER_2024.1,
7,Melting point,321.39,        ,     ,Spingler,B_SPINGLER_2024.1,
8,Melting point,321.42,        ,     ,Spingler,B_SPINGLER_2024.1,
9,Melting point,321.42,        ,     ,Spingler,B_SPINGLER_2024.1,
10,Melting point,321.7,         ,     ,Dudek,M_Dudek_2024.1,
11,Melting point,321.84,        ,     ,Dudek,M_Dudek_2024.1,
12,Melting point,321.6,         ,     ,Dudek,M_Dudek_2024.1,
13,Melting point,321.39,        ,     ,Dudek,M_Dudek_2024.1,
14,Melting point,321.47,        ,     ,Dudek,M_Dudek_2024.1,
15,Melting point,321.55,        ,     ,Dudek,M_Dudek_2024.1,
16,Melting point,321.3,         ,     ,Dudek,M_Dudek_2024.1,
17,Melting point,321.31,        ,     ,Dudek,M_Dudek_2024.1,
18,Melting point,321.39,        ,     ,Dudek,M_Dudek_2024.1,
19,Melting point,321.74,        ,     ,Dudek,M_Dudek_2024.1,
20,Melting point,321.72,        ,     ,Dudek,M_Dudek_2024.1,
21,Melting point,321.93,        ,     ,Dudek,M_Dudek_2024.1,
22,Melting point,321.35,        ,     ,Vanhecke,,            m = 13.6 mg
23,Melting point,319.95,        ,     ,Rubcic, Rubcic/Pozar (University of Zagreb), 
24,Melting point,320.25,        ,     ,Rubcic, Rubcic/Pozar (University of Zagreb), 
25,Melting point,320.35,        ,     ,Dudek, Dudek (Polish Academy of Sciences),
26,Melting point,321.05,        ,     ,Romanini,, m = 3.72 mg Michela Romanini (Barcelona)
27,Melting point,319.85,        ,     ,Berzins, Berzins / Krikle (Latvia),
28,Melting point,321.25,        ,     ,Braun, University of Innsbruck,
29,Melting point,321.15,        ,     ,Braun, University of Innsbruck,
30,Melting point,321.3,0.15,     ,Stejfa,   10.1021/acs.jced.6b00523,
31,Melting point,321.15,        ,     ,Neumann,  1932 citation 10.1515/zpch-1932-16103,
32,Melting point,321.17,0.016,    ,Chirico,  10.1016/S0021-9614(02)00261-6,
33,Melting point,321.03,0.05,     ,deKruif, triple point  10.1016/0021-9614(83)90151-9,
34,Melting point,321.28,0.01,     ,Hanaya,  10.1006/jcht.2002.0976,
37,Melting point,321.1,0.3,     ,Rietveld, 10.1038/s41598-023-38985-y,
38,Melting point,321.1,0.7,     ,Monte,   triple 10.1021/je050502y,
