MENSEE01,,,,,,,
Identifier, Property              , Value (Angstrom^3),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell volume @100K,731.73,0.119,     ,  Feliciano,    STSM-Parma,
2, Unit cell volume @115K,733.819,0.118,     ,  Feliciano,    STSM-Parma,
3, Unit cell volume @130K,736.661,0.116,     ,  Feliciano,    STSM-Parma,
4, Unit cell volume @145K,738.593,0.118,     ,  Feliciano,    STSM-Parma,
5, Unit cell volume @160K,741.394,0.137,     ,  Feliciano,    STSM-Parma,
6, Unit cell volume @175K,744.187,0.12,     ,  Feliciano,    STSM-Parma,
7, Unit cell volume @190K,746.768,0.121,     ,  Feliciano,    STSM-Parma,
8, Unit cell volume @205K,749.377,0.133,     ,  Feliciano,    STSM-Parma,
9, Unit cell volume @220K,751.901,0.114,     ,  Feliciano,    STSM-Parma,
10, Unit cell volume @235K,754.017,0.12,     ,  Feliciano,    STSM-Parma,
11, Unit cell volume @250K,756.284,0.125,     ,  Feliciano,    STSM-Parma,
12, Unit cell volume @265K,758.5,0.126,     ,  Feliciano,    STSM-Parma,
13, Unit cell volume @280K,760.16,0.174,     ,  Feliciano,    STSM-Parma,
14, Unit cell volume @295K,762.045,0.136,     ,  Feliciano,    STSM-Parma,
15, Unit cell volume @310K,764.788,0.173,     ,  Feliciano,    STSM-Parma,
16, Unit cell volume @325K,765.78,0.197,     ,  Feliciano,    STSM-Parma,
17, Unit cell volume @340K,766.037,0.228,     ,  Feliciano,    STSM-Parma,
18, Unit cell volume @355K,768.037,0.162,     ,  Feliciano,    STSM-Parma,
19, Unit cell volume @370K,769.557,0.25,     ,  Feliciano,    STSM-Parma,
20, Unit cell volume @385K,770.697,0.258,     ,  Feliciano,    STSM-Parma,
21, Unit cell volume @400K,772.246,0.309,     ,  Feliciano,    STSM-Parma,
22, Unit cell volume @440K,773.404,0.247,     ,  Feliciano,    STSM-Parma,
