# This file gives a closer overview about the occurrences of ADC overflows
# during the last acquisition.
# It is updated each time an FID is written to disk.
# 'Scans' denotes the number of scans that have been acquired for the current FID buffer,
# 'Experiment' the number of the current FID buffer 
# (which may be >1 in case of multi dimensional acquisition),
# 'Overflows' the total number of ADC overflows (if existing) that appeared during 'Scans'
# scans in FID buffer 'Experiment'.
# In case a multi-dimensional experiment is fully executed in the FID buffer of the DRU
# (i.e. using 'st' commands) only the sum of all overflows over all experiments is displayed.
# Note that the number of overflows may exceed the actual number of scans
# since there may be more than one overflow per scan.


# Scans   Experiment   Overflows
# ------------------------------
9   1   1
24   1   1
36   1   1
39   1   2
48   1   1
84   1   2
88   1   2
108   1   2
116   1   1
140   1   1
144   1   1
152   1   1
156   1   1
180   1   1
204   1   1
212   1   1
224   1   1
232   1   2
244   1   1
248   1   1
280   1   1
296   1   1
308   1   1
312   1   1
400   1   1
408   1   1
420   1   1
436   1   1
456   1   1
460   1   1
476   1   1
488   1   1
540   1   1
552   1   1
576   1   1
584   1   1
588   1   2
636   1   1
644   1   1
648   1   1
656   1   1
668   1   1
672   1   1
680   1   1
696   1   1
728   1   1
776   1   1
792   1   1
796   1   1
804   1   1
816   1   1
860   1   1
872   1   1
876   1   1
920   1   1
928   1   1
948   1   1
952   1   1
968   1   1
1004   1   1
1012   1   1
1032   1   1
1044   1   1
1052   1   1
1064   1   2
1076   1   1
1092   1   1
1096   1   1
1100   1   1
1112   1   1
1116   1   1
1144   1   1
1160   1   1
1172   1   1
1188   1   1
1244   1   1
1308   1   1
1316   1   1
1328   1   1
1360   1   1
1392   1   1
1416   1   1
1420   1   1
1496   1   1
1500   1   1
1504   1   1
1512   1   1
1536   1   1
1568   1   1
1572   1   1
1588   1   1
1608   1   1
1640   1   1
1648   1   1
1652   1   1
1660   1   1
1664   1   1
1676   1   1
1688   1   1
1704   1   1
1712   1   1
1716   1   1
1740   1   1
1752   1   1
1768   1   1
1828   1   1
1832   1   1
1852   1   1
1856   1   1
1860   1   1
1884   1   1
1940   1   1
1960   1   1
1964   1   1
2008   1   1
2056   1   1
2064   1   1
2088   1   1
2096   1   1
2140   1   1
2144   1   1
2156   1   1
2160   1   1
2224   1   1
2236   1   1
2244   1   2
2248   1   1
2252   1   1
2276   1   1
2280   1   2
2308   1   1
2312   1   1
2340   1   1
2356   1   1
2396   1   1
2408   1   1
2484   1   1
2496   1   1
2500   1   1
2516   1   1
2532   1   1
2552   1   1
2564   1   1
2572   1   1
2588   1   1
2604   1   1
2624   1   1
2644   1   1
2652   1   1
2656   1   2
2676   1   1
2688   1   1
2712   1   1
2744   1   1
2760   1   1
2784   1   1
2788   1   1
2824   1   1
2840   1   1
2900   1   1
2920   1   1
2924   1   1
2932   1   1
2960   1   1
2972   1   1
2996   1   1
3008   1   1
3024   1   1
3060   1   1
3084   1   1
3096   1   1
3168   1   1
3180   1   1
3192   1   1
3212   1   2
3216   1   1
3220   1   1
3272   1   2
3300   1   1
3304   1   1
3316   1   1
3324   1   1
3336   1   1
3344   1   1
3372   1   1
3392   1   1
3400   1   1
3412   1   1
3420   1   1
3428   1   1
3456   1   2
3476   1   1
3488   1   1
3512   1   2
3544   1   1
3568   1   1
3572   1   1
3596   1   1
3612   1   1
3628   1   1
3636   1   1
3640   1   1
3648   1   1
3656   1   1
3672   1   1
3700   1   1
3736   1   1
3784   1   1
3792   1   1
3800   1   1
3832   1   1
3848   1   1
3852   1   1
3908   1   1
3912   1   1
3924   1   1
3928   1   1
3932   1   1
3948   1   1
3960   1   1
3972   1   1
3976   1   1
3980   1   2
4000   1   1
4004   1   1
4036   1   1
4044   1   1
4064   1   1
4068   1   1
4080   1   1
4084   1   1
4092   1   1
